CEBELNJAK_LOKACIJA,Y,X,DAT_ZACETEK,DAT_PRENEHANJE
30946,611133,158612,04.02.05,17.05.10
30950,558027,149356,04.02.05,15.09.16
30955,615856,152326,04.02.05,05.07.13
30969,546981,149503,04.02.05,22.12.15
30970,543623,150656,04.02.05,22.12.15
30985,503259,50332,04.02.05,28.01.19
32217,478226,100980,10.02.05,15.12.20
32218,478226,100980,10.02.05,15.12.20
32219,525032,55736,10.02.05,31.08.20
32247,521793,60875,10.02.05,13.09.16
32248,524061,62068,10.02.05,12.09.16
31027,496092,53321,04.02.05,22.07.09
31052,459096,117475,04.02.05,03.06.08
31062,495707,53736,04.02.05,17.02.12
32324,589716,187340,11.02.05,24.04.08
32325,587372,188684,11.02.05,24.04.08
32344,467660,98858,11.02.05,19.12.13
32348,468182,97178,11.02.05,19.12.13
32358,466314,99202,11.02.05,16.03.12
40673,397830,86254,22.07.05,13.02.12
40677,395068,88185,22.07.05,22.02.16
40678,395068,88185,22.07.05,22.02.16
40701,445950,90999,25.07.05,12.12.20
40705,458854,104341,25.07.05,12.02.19
40706,458854,104341,25.07.05,12.02.19
40715,429603,80564,27.07.05,16.04.09
41541,474439,96972,05.12.05,01.07.15
38642,459919,100816,22.03.05,09.07.19
38643,459919,100816,22.03.05,09.07.19
38644,459919,100816,22.03.05,09.07.19
38656,603911,163168,22.03.05,28.07.08
38664,439663,52042,22.03.05,05.06.13
38697,452683,94899,23.03.05,21.12.20
39814,428538,137370,26.04.05,09.10.08
39815,426909,136241,26.04.05,09.10.08
39817,558741,140452,26.04.05,05.03.21
40738,456269,114443,28.07.05,13.02.18
40740,402942,97226,28.07.05,05.06.20
40764,469818,119527,10.08.05,16.03.12
38703,398882,45951,23.03.05,12.09.16
38780,433827,59222,24.03.05,01.02.19
38785,439526,60984,24.03.05,17.07.08
38791,418119,80803,24.03.05,26.07.10
38792,455225,91171,24.03.05,25.10.18
39826,409526,79945,29.04.05,04.02.20
39849,412410,82321,03.05.05,22.04.08
40772,392716,43997,18.08.05,25.10.18
40844,417380,76958,23.08.05,25.01.18
41643,477236,84622,22.12.05,14.02.14
41644,478844,92553,22.12.05,27.10.16
41646,542008,106195,27.12.05,29.06.15
41651,484316,133692,27.12.05,21.11.12
38863,481775,106036,29.03.05,29.09.15
38870,444690,128605,29.03.05,07.06.18
38892,463545,91717,29.03.05,01.12.09
38923,550718,174076,29.03.05,28.02.12
38941,468930,115678,29.03.05,28.01.19
39883,397741,108398,05.05.05,19.01.09
39884,397741,108398,05.05.05,19.01.09
39929,586528,171168,09.05.05,06.02.18
39934,437367,60722,09.05.05,19.01.21
40895,484784,50997,25.08.05,28.02.12
42085,400430,113746,14.04.06,10.06.13
42094,516420,79859,19.04.06,17.01.12
42095,509159,81795,19.04.06,29.08.16
38817,462497,96687,25.03.05,29.12.15
38825,479012,105379,25.03.05,24.11.09
38839,465941,119301,25.03.05,07.10.16
38840,453252,104777,25.03.05,19.03.12
38846,454281,104313,25.03.05,02.02.18
38847,454366,103613,25.03.05,02.02.18
38848,388700,127743,25.03.05,04.02.20
38849,414043,35639,25.03.05,02.02.18
38850,414043,35639,25.03.05,02.02.18
39939,581516,178084,10.05.05,25.01.12
39952,434526,58936,10.05.05,21.08.08
39955,435708,129190,10.05.05,12.03.20
39978,411479,74812,11.05.05,05.07.13
40932,612578,159244,29.08.05,28.06.12
40938,390624,106573,29.08.05,14.02.12
40958,513711,88062,30.08.05,06.02.18
41898,556366,149706,24.01.06,02.06.15
38971,526771,37245,29.03.05,22.06.18
40023,548727,167898,16.05.05,09.04.08
40024,548727,167898,16.05.05,20.02.19
41033,391041,123508,05.09.05,26.06.14
41037,443052,112102,05.09.05,22.01.20
41038,443052,112102,05.09.05,22.01.20
41040,459397,100220,05.09.05,28.02.12
41041,459397,100220,05.09.05,28.02.12
41042,459397,100220,05.09.05,28.02.12
41984,411498,81065,16.03.06,03.11.08
39079,435912,56655,01.04.05,04.09.20
39080,435912,56655,01.04.05,29.08.16
41701,587372,188684,07.01.06,24.04.08
41702,589716,187340,07.01.06,24.04.08
41707,542367,165013,09.01.06,16.09.11
41711,439051,60741,09.01.06,14.10.16
41081,594038,166024,07.09.05,05.01.17
41110,591089,172161,07.09.05,15.07.13
41116,436082,66124,07.09.05,08.10.20
41949,595651,174296,01.02.06,13.07.15
40133,397208,91653,09.06.05,20.05.20
40135,395870,85781,09.06.05,20.02.12
39257,437096,133486,04.04.05,23.12.20
39267,400910,43152,05.04.05,12.06.19
40179,395566,84510,16.06.05,07.10.16
41215,446771,94036,12.09.05,28.02.11
41753,551977,127698,12.01.06,23.07.20
41807,465445,117139,18.01.06,27.09.16
39322,414857,63531,05.04.05,22.03.12
39326,454798,119656,05.04.05,03.04.12
40293,456167,96860,07.07.05,12.12.18
42055,485548,91877,06.04.06,11.04.17
42064,599858,179746,07.04.06,05.05.08
41817,418616,128992,18.01.06,06.07.15
41844,436300,101902,23.01.06,23.06.15
41869,591237,154553,24.01.06,09.07.13
39536,445740,92603,14.04.05,19.08.16
39538,448173,92986,14.04.05,02.03.12
40471,540127,79824,20.07.05,15.06.16
40476,385419,100470,20.07.05,19.02.10
40478,386879,94282,20.07.05,14.02.12
40479,386879,94282,20.07.05,14.02.12
40481,490215,43243,20.07.05,18.10.16
40482,488161,36088,20.07.05,23.02.12
40483,491418,47841,20.07.05,05.03.21
40485,489079,36645,20.07.05,26.11.08
41400,601140,163381,25.10.05,01.10.08
38526,421600,72924,18.03.05,02.03.11
38528,422483,72365,18.03.05,21.02.12
39572,447097,91490,18.04.05,02.09.19
40529,460879,89128,21.07.05,09.03.21
40564,439611,60979,21.07.05,19.10.10
40569,439724,61222,21.07.05,13.02.20
40570,437749,59862,21.07.05,25.09.08
40571,432175,55369,21.07.05,24.09.18
40572,432175,55369,21.07.05,24.09.18
40573,432175,55369,21.07.05,24.09.18
41431,502260,141677,18.11.05,22.01.18
42918,606119,159690,31.05.07,18.09.12
42920,600373,156614,31.05.07,06.02.09
42921,600404,155895,31.05.07,06.02.09
43221,469801,115665,23.10.07,05.04.12
42169,526670,131066,01.06.06,09.07.14
42184,445598,59518,14.06.06,23.01.09
42185,446722,60126,14.06.06,23.01.09
42191,484150,64691,15.06.06,02.10.08
43266,552135,137702,07.11.07,15.09.16
