HGCZ_LOKACIJA,Y,X,DAT_ZACETEK,DAT_PRENEHANJE
33277,588703,173989,17.12.10,14.05.12
44621,602959,168685,24.09.09,20.06.11
40993,575730,171013,25.05.10,21.10.10
40596,588461,174203,18.04.11,14.05.12
47603,587254,176978,09.05.11,14.05.12
33297,588470,174455,12.05.11,14.05.12
36702,588621,174242,22.06.11,14.05.12
36134,591548,168541,10.08.11,18.06.13
35302,573135,144787,23.08.11,04.06.12
33190,571971,146230,30.09.11,04.06.12
30353,571313,156126,30.09.11,21.05.12
44813,593589,165817,31.01.12,18.06.13
40029,433607,134610,25.04.12,20.08.12
34296,446106,134347,04.10.11,08.08.12
48007,488391,108958,12.04.12,28.05.12
32212,466241,110608,10.05.12,20.09.12
40266,440842,122132,02.03.12,11.10.12
39956,441970,121266,16.03.12,11.10.12
37036,442521,120862,16.03.12,11.10.12
39957,438427,122865,16.03.12,11.10.12
44217,438381,119832,08.05.12,11.10.12
33072,439644,121641,11.05.12,11.10.12
44525,440161,119681,09.05.12,12.10.12
33083,441325,119030,15.05.12,11.10.12
49214,435340,123387,15.05.12,11.10.12
37641,447776,126917,18.04.12,20.06.12
33580,424874,58458,18.05.12,27.08.12
32195,466848,110253,21.05.12,21.09.12
30504,473082,121416,21.05.12,16.05.13
38129,530404,135942,23.05.11,31.08.12
40975,526969,135615,23.05.11,31.08.12
38131,529289,140166,23.05.11,31.08.12
31851,592309,168976,29.05.12,18.06.13
47951,439955,116363,25.05.12,11.10.12
41483,436182,118647,25.05.12,11.10.12
39724,452702,112449,25.05.12,18.04.13
32732,453781,131277,25.05.12,13.11.12
50261,446339,132923,22.05.12,09.08.12
41957,408961,68761,07.06.12,27.08.12
33567,421920,58255,06.06.12,27.08.12
33810,443718,125709,12.06.12,24.10.12
30743,397219,108282,01.06.12,06.09.12
31064,501113,161513,06.06.12,18.09.12
38679,477727,120158,08.06.12,28.03.14
35606,477706,117372,08.06.12,28.03.14
38627,479104,122100,08.06.12,28.03.14
41429,478496,119024,08.06.12,28.03.14
42267,479113,121090,08.06.12,28.03.14
42306,475366,118921,08.06.12,28.03.14
44193,480118,120023,08.06.12,28.03.14
30685,479113,121090,08.06.12,28.03.14
35607,476875,117215,08.06.12,28.03.14
42835,435718,123147,12.06.12,12.10.12
30742,468697,112345,07.06.12,21.09.12
48777,469769,113396,07.06.12,21.09.12
49659,470467,114052,07.06.12,21.09.12
42126,468690,112375,07.06.12,21.09.12
35592,470064,109942,07.06.12,21.09.12
35277,469377,115156,07.06.12,21.09.12
30729,470311,111941,07.06.12,21.09.12
50193,469488,115025,07.06.12,21.09.12
31801,554642,126977,13.06.12,30.09.13
32754,412421,51881,08.06.12,27.08.12
33074,440350,119588,18.06.12,11.10.12
40103,435477,123478,15.06.12,11.10.12
48262,435067,132745,18.06.12,26.09.12
32757,434821,132770,19.06.12,26.09.12
50389,439417,95975,18.06.12,07.11.12
35227,440920,94744,20.06.12,07.11.12
39703,553395,146187,22.06.12,30.05.13
35446,549276,146600,22.06.12,13.05.13
32868,510092,135473,10.04.12,24.05.13
41528,541701,99644,07.06.12,29.08.12
30305,459117,95325,08.06.12,09.08.12
37351,459460,109857,14.06.12,25.09.12
48297,468575,92993,27.06.12,25.09.12
43321,441527,125701,30.07.12,12.10.12
43002,563239,149814,03.08.12,18.09.13
48433,435714,134120,06.08.12,26.09.12
34522,441248,95559,07.08.12,07.11.12
39704,556370,146367,14.08.12,31.05.13
30519,575786,133760,20.08.12,23.05.13
35241,475681,107955,21.08.12,27.09.12
50717,586880,159451,20.08.12,13.05.13
38944,449079,42494,28.08.12,03.06.13
40908,441146,122131,29.08.12,15.10.12
41752,474466,106154,06.09.12,27.09.12
41285,509052,138679,10.09.12,24.05.13
42248,509531,136969,18.05.12,24.05.13
35559,438874,86757,12.09.12,18.06.13
50913,436911,109362,21.08.12,05.06.13
45117,454100,112955,14.09.12,29.04.13
46327,449712,128937,11.09.12,12.06.13
31404,584246,158399,18.09.12,13.05.13
48140,447692,43653,20.09.12,03.06.13
34768,438689,111248,28.09.12,06.06.13
34312,448197,132835,21.09.12,01.07.13
35494,446926,43170,26.09.12,03.06.13
39840,532063,125938,03.10.12,10.09.13
45801,437616,110305,03.10.12,06.06.13
48735,516436,107669,03.10.12,24.10.13
31833,517256,115066,03.10.12,24.10.13
31832,517023,112040,03.10.12,24.10.13
41343,516702,111909,28.09.12,23.10.13
41243,511923,114897,28.09.12,23.10.13
39412,532047,126695,05.10.12,10.09.13
48553,510802,43289,20.09.12,21.08.13
39944,552837,128834,19.09.12,22.05.13
35744,546738,147788,27.09.12,13.05.13
35537,440810,85990,09.10.12,18.06.13
50973,445804,98128,12.10.12,20.05.13
32528,444663,98253,12.10.12,07.05.13
50896,444808,98479,12.10.12,07.05.13
32512,444704,97786,12.10.12,07.05.13
46643,440586,86352,02.10.12,18.06.13
35523,440940,86172,02.10.12,18.06.13
31899,575311,171808,22.10.12,02.08.13
34382,501406,141018,19.03.12,06.06.12
36771,501448,140151,20.04.12,06.06.12
32563,438201,102875,26.11.12,06.06.13
30769,385435,97043,26.02.13,29.04.13
30785,383429,97020,05.03.13,29.04.13
35634,384424,98367,15.03.13,29.04.13
40993,575730,171013,26.04.13,02.08.13
33579,424451,57963,24.05.12,06.08.12
31987,509445,73668,25.04.13,31.07.13
30588,576025,169445,10.05.13,02.08.13
50973,445804,98128,12.10.12,20.05.13
50973,445804,98128,12.10.12,20.05.13
50973,445804,98128,12.10.12,20.05.13
30500,471660,122374,21.05.12,16.05.13
35961,517393,112079,28.05.13,27.10.13
31082,514880,115020,31.05.13,01.10.13
34641,493436,113954,03.06.13,27.08.13
39714,554875,124534,23.05.13,27.09.13
35859,526342,78110,17.06.13,03.10.14
30577,510795,46513,17.06.13,13.09.13
45551,575918,170749,20.06.13,02.08.13
33244,506942,73248,31.07.13,04.05.15
47985,513748,38728,10.10.12,31.07.13
42022,478517,109751,07.08.13,27.02.14
50423,494580,113413,27.06.12,26.08.13
31987,509445,73668,25.04.13,11.09.14
50973,445804,98128,05.10.12,20.05.13
50973,445804,98128,12.10.12,20.05.13
50973,445804,98128,12.10.12,20.05.13
50973,445804,98128,12.10.12,20.05.13
35277,469377,115156,07.06.12,21.09.12
46799,502098,93609,14.06.12,09.08.12
35277,469377,115156,07.06.12,21.09.12
42908,469881,113540,07.06.12,21.09.12
44467,467133,114236,08.06.12,21.09.12
33242,508026,71312,27.08.13,04.05.15
30764,387999,93499,03.09.13,10.10.13
30791,388935,95427,11.09.13,14.10.13
46321,592336,139253,16.09.13,26.05.14
33237,506274,70729,20.09.13,04.05.15
45499,563780,141856,16.08.12,22.10.13
33380,391377,83722,05.02.14,17.04.14
39714,554875,124534,14.05.13,27.09.13
39714,554875,124534,23.05.13,27.09.13
48303,453915,112802,14.09.12,25.04.13
45751,477559,120011,08.06.12,28.03.14
41604,479566,120913,08.06.12,28.03.14
46259,478799,117428,08.06.12,28.03.14
41514,466291,122889,25.03.14,20.10.14
31129,613397,158412,14.04.14,04.06.14
49547,463879,119798,10.04.14,24.10.14
30243,462250,124538,08.04.14,27.10.14
35867,447533,119213,10.04.14,28.08.14
38935,531309,140176,04.04.14,13.10.14
49113,445482,116526,24.04.14,01.09.14
30221,464166,124107,29.04.14,20.10.14
31703,611525,159450,06.05.14,04.06.14
33272,505037,70810,20.05.14,11.09.14
42896,473956,118806,09.05.14,21.04.15
35422,464464,121584,09.05.14,29.10.14
35423,464781,122044,09.05.14,29.10.14
41573,464854,122568,09.05.14,29.10.14
43002,563239,149814,21.05.14,05.11.14
35408,443537,106146,23.05.14,06.11.14
34637,524798,78184,14.05.14,03.10.14
40683,528679,76829,27.05.14,04.05.15
41273,530514,139808,28.05.14,15.10.14
53261,467706,124934,30.05.14,27.11.14
34660,528307,77898,02.06.14,03.10.14
34866,445751,115849,22.04.14,29.08.14
30216,463319,120281,29.04.14,20.10.14
32177,467441,118862,04.06.14,30.12.14
50292,533803,139054,06.06.14,10.10.14
34654,529069,76280,09.06.14,15.10.14
44249,443883,106149,16.06.14,07.11.14
44759,446505,109901,17.06.14,29.08.14
34859,445807,113855,17.06.14,29.08.14
45447,446358,113403,17.06.14,29.08.14
54231,469833,77330,18.06.14,26.10.15
35456,561995,148246,20.06.14,05.11.14
30842,471824,94256,20.06.14,20.07.15
