LOKACIJA_IZH,Y,X,LOKACIJA_DEST,Y_DEST,X_DEST,DATE_MOVE
40436,524433,125383,30950,558027,149356,23.04.13
39816,556070,138562,30950,558027,149356,23.04.12
38329,534282,157453,30950,558027,149356,23.07.14
42923,596782,161039,30953,616813,153900,31.07.17
31137,610961,161107,30954,615048,153038,17.04.12
64732,546747,153210,30963,616960,155132,27.07.16
60597,546747,153210,30963,616960,155132,18.06.15
53260,611984,157137,30963,616960,155132,18.06.15
36413,544531,149310,30963,616960,155132,18.07.17
36413,544531,149310,30963,616960,155132,05.07.18
36413,544531,149310,30963,616960,155132,27.07.20
36413,544531,149310,30963,616960,155132,16.07.21
47603,587254,176978,30966,545925,150530,17.05.12
47239,553865,151795,30969,546981,149503,04.06.14
30509,578186,140100,30970,543623,150656,11.06.13
73963,596398,174243,30978,554552,151297,14.09.19
70587,551972,151863,30978,554552,151297,25.05.21
65200,551662,152396,30978,554552,151297,22.08.16
36418,546441,150398,30978,554552,151297,09.07.12
36415,545031,149845,30978,554552,151297,14.08.17
36415,545031,149845,30978,554552,151297,20.07.20
36415,545031,149845,30978,554552,151297,19.07.21
36408,545402,151927,30978,554552,151297,22.08.16
36408,545402,151927,30978,554552,151297,14.08.17
36406,546831,152405,30978,554552,151297,19.08.13
30979,554552,151297,30978,554552,151297,14.05.13
78561,549678,147891,30979,554552,151297,20.07.20
70753,544841,150247,30979,554552,151297,23.07.18
36406,546831,152405,30979,554552,151297,09.07.12
36406,546831,152405,30979,554552,151297,19.08.13
36406,546831,152405,30979,554552,151297,28.07.14
40632,524632,96838,30983,506723,114238,25.04.20
47611,479458,66431,32213,516042,31864,30.04.20
32083,509185,70730,32213,516042,31864,07.04.17
78952,551498,94875,32216,478226,100980,16.06.21
71984,453096,65127,32217,478226,100980,07.08.18
68942,551499,94875,32217,478226,100980,06.06.18
65127,452191,64563,32217,478226,100980,02.09.16
56813,477989,125351,32217,478226,100980,24.07.14
35086,456446,85664,32217,478226,100980,11.06.20
32215,480934,102529,32217,478226,100980,10.08.15
65247,456379,85682,32218,478226,100980,06.09.16
63754,485017,128067,32218,478226,100980,17.06.16
56783,456379,85682,32218,478226,100980,14.08.14
43918,551493,94892,32218,478226,100980,17.06.19
32215,480934,102529,32218,478226,100980,10.08.15
49665,447006,131701,32250,526249,61284,31.03.16
41283,498213,154533,32264,489559,153983,10.04.20
48961,562215,169795,32282,489379,153988,28.04.20
71512,493852,100728,31034,506640,111600,07.07.18
41283,498213,154533,31058,502689,159585,07.04.17
34066,510162,154676,31097,502276,161490,30.04.14
30907,504922,155354,31097,502276,161490,26.04.21
81283,530138,165602,32308,597809,171410,28.08.21
78604,530138,165602,32308,597809,171410,07.08.20
78626,530138,165602,32328,594225,179600,07.08.20
74935,530138,165602,32328,594225,179600,30.10.19
71496,530138,165601,32328,594225,179600,27.08.18
62504,591155,174595,32328,594225,179600,27.05.16
49141,603154,174704,32328,594225,179600,16.11.15
77985,425963,61457,32338,465170,104544,06.06.20
78805,477558,101503,32338,465170,104544,17.07.20
75352,477558,101503,32338,465170,104544,20.07.19
74294,425963,61457,32338,465170,104544,12.06.19
63748,424951,58546,32338,465170,104544,06.06.16
64914,477557,101503,32338,465170,104544,22.07.16
60868,477557,101503,32338,465170,104544,13.07.15
57354,396419,109607,32338,465170,104544,11.06.15
56590,424951,58546,32338,465170,104544,02.06.14
32336,508252,65110,32338,465170,104544,14.04.16
32336,508252,65110,32338,465170,104544,22.04.17
81664,477558,101503,32339,464428,103460,26.07.21
72098,477557,101503,32339,464428,103460,23.07.18
68127,477557,101503,32339,464428,103460,14.07.17
81682,474439,101056,32340,467753,100199,21.07.21
72326,450404,91939,32340,467753,100199,16.06.21
60763,474439,101056,32340,467753,100199,20.07.15
57767,495758,64369,31121,512379,42235,18.09.14
31743,505553,39804,31121,512379,42235,16.04.15
59039,513836,143232,31123,495278,128930,31.07.15
57502,587599,187977,31128,614689,158148,11.08.14
71888,612370,154731,31137,610961,161107,08.10.18
68596,612348,154680,31137,610961,161107,27.09.17
53403,529764,155654,31137,610961,161107,10.05.17
31138,606905,162625,31137,610961,161107,27.09.17
75818,610881,162646,31138,606905,162625,12.10.19
72350,610235,163611,31138,606905,162625,24.09.18
67381,529968,156967,31138,606905,162625,10.08.17
67381,529968,156967,31138,606905,162625,18.07.18
64196,529968,156967,31138,606905,162625,25.08.16
54149,529843,156236,31138,606905,162625,03.09.13
38355,530034,156825,31138,606905,162625,22.07.14
71714,538488,78753,31160,537159,84481,30.06.18
67389,538488,78753,31160,537159,84481,14.07.17
67388,538995,78717,31162,536728,86591,07.07.17
62852,536180,156065,32373,553847,163088,25.08.20
62852,536180,156065,32373,553847,163088,25.08.20
62852,536180,156065,32373,553847,163088,23.08.21
62848,539779,161802,32373,553847,163088,18.08.17
62848,539779,161802,32373,553847,163088,09.08.19
60872,536454,155737,32373,553847,163088,08.09.15
36408,545402,151927,32373,553847,163088,16.07.12
36408,545402,151927,32373,553847,163088,26.08.13
36286,536325,156072,32373,553847,163088,25.08.14
61775,536576,162537,32393,556707,167458,20.07.18
59486,590524,163946,32393,556707,167458,28.05.15
54573,530691,165533,32393,556707,167458,15.08.13
37263,544518,161794,32393,556707,167458,20.07.16
37263,544518,161794,32393,556707,167458,08.07.17
37263,544518,161794,32393,556707,167458,06.08.19
36419,546761,150945,32393,556707,167458,12.07.14
36419,546761,150945,32393,556707,167458,18.07.21
76066,447044,65806,32399,429719,61674,17.09.19
42669,460990,129591,32399,429719,61674,27.04.12
39464,400347,117096,32400,437627,61582,02.04.17
34916,520191,85565,32407,433075,54518,17.04.20
75819,449405,62897,32426,437292,56350,17.09.19
79227,446768,60643,32435,433626,59668,21.08.20
76043,448112,62945,32435,433626,59668,17.09.19
76049,448112,62945,32436,433633,59674,17.09.19
34430,519806,132968,32438,529785,109129,14.04.17
54531,503409,69302,31186,496812,73254,11.08.13
78239,548620,80872,31217,547162,87888,10.07.20
74577,548620,80872,31217,547162,87888,10.07.19
73969,554830,96815,31217,547162,87888,01.06.19
70998,548620,80871,31217,547162,87888,21.06.18
70155,554830,96815,31217,547162,87888,18.05.18
64224,548620,80871,31217,547162,87888,14.07.16
68316,540124,148812,31243,619683,150007,20.07.17
64831,508487,91804,31243,619683,150007,19.07.16
60732,541501,157459,31243,619683,150007,04.08.15
56807,536143,157963,31243,619683,150007,22.07.14
34905,537549,121306,32441,531144,108279,08.04.14
35044,532134,111931,32455,531653,105950,04.04.14
32469,561838,166818,32461,559820,153468,17.04.15
49707,522665,97375,32490,546903,107973,22.04.15
