CEBELNJAK_LOKACIJA,Y,X,DAT_ZACETEK,DAT_PRENEHANJE
30946,611133,158612,04.02.05,17.05.10
30950,558027,149356,04.02.05,15.09.16
30954,615048,153038,04.02.05,
30955,615856,152326,04.02.05,05.07.13
30965,606566,172757,04.02.05,
30969,546981,149503,04.02.05,22.12.15
30970,543623,150656,04.02.05,22.12.15
30979,554552,151297,04.02.05,
30985,503259,50332,04.02.05,28.01.19
30986,502978,49682,04.02.05,
31005,493043,66549,04.02.05,
32217,478226,100980,10.02.05,15.12.20
32218,478226,100980,10.02.05,15.12.20
32219,525032,55736,10.02.05,31.08.20
32238,528613,60507,10.02.05,
32239,525551,57524,10.02.05,
32247,521793,60875,10.02.05,13.09.16
32248,524061,62068,10.02.05,12.09.16
31027,496092,53321,04.02.05,22.07.09
31052,459096,117475,04.02.05,03.06.08
31062,495707,53736,04.02.05,17.02.12
32324,589716,187340,11.02.05,24.04.08
32325,587372,188684,11.02.05,24.04.08
32338,465170,104544,11.02.05,
32340,467753,100199,11.02.05,
32344,467660,98858,11.02.05,19.12.13
32347,470515,102634,11.02.05,
32348,468182,97178,11.02.05,19.12.13
32352,469667,106990,11.02.05,
32353,469667,106990,11.02.05,
32358,466314,99202,11.02.05,16.03.12
40673,397830,86254,22.07.05,13.02.12
40676,398912,82997,22.07.05,
40677,395068,88185,22.07.05,22.02.16
40678,395068,88185,22.07.05,22.02.16
40701,445950,90999,25.07.05,12.12.20
40705,458854,104341,25.07.05,12.02.19
40706,458854,104341,25.07.05,12.02.19
40715,429603,80564,27.07.05,16.04.09
41541,474439,96972,05.12.05,01.07.15
38626,475716,99213,21.03.05,
38642,459919,100816,22.03.05,09.07.19
38643,459919,100816,22.03.05,09.07.19
38644,459919,100816,22.03.05,09.07.19
38649,462448,90136,22.03.05,
38650,463535,91746,22.03.05,
38656,603911,163168,22.03.05,28.07.08
38664,439663,52042,22.03.05,05.06.13
38668,437151,45613,22.03.05,
38691,551794,129778,22.03.05,
38697,452683,94899,23.03.05,21.12.20
39814,428538,137370,26.04.05,09.10.08
39815,426909,136241,26.04.05,09.10.08
39817,558741,140452,26.04.05,05.03.21
40738,456269,114443,28.07.05,13.02.18
40740,402942,97226,28.07.05,05.06.20
40759,399516,40337,08.08.05,
40762,415063,48398,10.08.05,
40764,469818,119527,10.08.05,16.03.12
38703,398882,45951,23.03.05,12.09.16
38712,551950,131761,23.03.05,
38713,556391,135078,23.03.05,
38714,555111,135895,23.03.05,
38715,554580,131964,23.03.05,
38769,472928,86536,23.03.05,
38780,433827,59222,24.03.05,01.02.19
38785,439526,60984,24.03.05,17.07.08
38788,418119,80803,24.03.05,
38790,418119,80803,24.03.05,
38791,418119,80803,24.03.05,26.07.10
38792,455225,91171,24.03.05,25.10.18
38799,437444,56148,24.03.05,
39826,409526,79945,29.04.05,04.02.20
39832,430092,56681,29.04.05,
39846,618776,151242,29.04.05,
39849,412410,82321,03.05.05,22.04.08
39877,411251,34191,05.05.05,
39880,382847,97358,05.05.05,
39882,384424,98367,05.05.05,
40772,392716,43997,18.08.05,25.10.18
40816,386145,100272,19.08.05,
40844,417380,76958,23.08.05,25.01.18
41643,477236,84622,22.12.05,14.02.14
41644,478844,92553,22.12.05,27.10.16
41646,542008,106195,27.12.05,29.06.15
41647,610149,158614,27.12.05,
41651,484316,133692,27.12.05,21.11.12
38863,481775,106036,29.03.05,29.09.15
38865,439555,56198,29.03.05,
38866,439555,56198,29.03.05,
38870,444690,128605,29.03.05,07.06.18
38871,439744,60116,29.03.05,
38872,439744,60116,29.03.05,
38892,463545,91717,29.03.05,01.12.09
38907,594936,162407,29.03.05,
38919,492647,118522,29.03.05,
38923,550718,174076,29.03.05,28.02.12
38928,606359,160670,29.03.05,
38931,424233,72834,29.03.05,
38941,468930,115678,29.03.05,28.01.19
38943,552203,158390,29.03.05,
39883,397741,108398,05.05.05,19.01.09
39884,397741,108398,05.05.05,19.01.09
39887,386095,93071,05.05.05,
39888,386605,92990,05.05.05,
39929,586528,171168,09.05.05,06.02.18
39934,437367,60722,09.05.05,19.01.21
39937,589744,187361,09.05.05,
40877,440693,54153,25.08.05,
40895,484784,50997,25.08.05,28.02.12
40909,454144,101845,26.08.05,
40910,409349,69477,26.08.05,
42085,400430,113746,14.04.06,10.06.13
42093,516420,79859,19.04.06,
42094,516420,79859,19.04.06,17.01.12
42095,509159,81795,19.04.06,29.08.16
42099,488027,89973,19.04.06,
42103,487276,88465,20.04.06,
38803,416346,76590,25.03.05,
38817,462497,96687,25.03.05,29.12.15
38825,479012,105379,25.03.05,24.11.09
38833,404455,44078,25.03.05,
38836,435544,137893,25.03.05,
38837,462716,117592,25.03.05,
38838,465987,119434,25.03.05,
38839,465941,119301,25.03.05,07.10.16
38840,453252,104777,25.03.05,19.03.12
38846,454281,104313,25.03.05,02.02.18
38847,454366,103613,25.03.05,02.02.18
38848,388700,127743,25.03.05,04.02.20
38849,414043,35639,25.03.05,02.02.18
38850,414043,35639,25.03.05,02.02.18
39939,581516,178084,10.05.05,25.01.12
39946,430998,58552,10.05.05,
39948,437316,56403,10.05.05,
39950,437315,56312,10.05.05,
39952,434526,58936,10.05.05,21.08.08
39955,435708,129190,10.05.05,12.03.20
39956,441970,121266,10.05.05,
39957,438427,122865,10.05.05,
39960,409990,48851,10.05.05,
39978,411479,74812,11.05.05,05.07.13
39979,425698,58540,11.05.05,
40932,612578,159244,29.08.05,28.06.12
40938,390624,106573,29.08.05,14.02.12
40958,513711,88062,30.08.05,06.02.18
41897,558801,148540,24.01.06,
41898,556366,149706,24.01.06,02.06.15
41910,550884,95593,26.01.06,
41927,404924,75804,26.01.06,
38967,496036,59773,29.03.05,
38971,526771,37245,29.03.05,22.06.18
40023,548727,167898,16.05.05,09.04.08
40024,548727,167898,16.05.05,20.02.19
41033,391041,123508,05.09.05,26.06.14
41037,443052,112102,05.09.05,22.01.20
41038,443052,112102,05.09.05,22.01.20
41040,459397,100220,05.09.05,28.02.12
41041,459397,100220,05.09.05,28.02.12
41042,459397,100220,05.09.05,28.02.12
41984,411498,81065,16.03.06,03.11.08
41999,597172,160609,22.03.06,
42000,596821,160941,22.03.06,
42001,596832,160937,22.03.06,
42003,619061,150044,22.03.06,
39037,395865,91638,31.03.05,
39079,435912,56655,01.04.05,04.09.20
